graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,Prim,4,5,228.0,13,4.3801
1,Kruskal,4,5,228.0,12,1.8713
2,Prim,5,8,202.0,21,0.0312
2,Kruskal,5,8,202.0,16,0.0301
3,Prim,10,16,284.0,42,0.0386
3,Kruskal,10,16,284.0,39,0.0602
4,Prim,15,28,408.0,65,0.0799
4,Kruskal,15,28,408.0,61,0.0588
5,Prim,20,30,491.0,76,0.083
5,Kruskal,20,30,491.0,74,0.0707
6,Prim,25,25,1467.0,76,0.0547
6,Kruskal,25,25,1467.0,73,0.061
7,Prim,30,45,953.0,118,0.1206
7,Kruskal,30,45,953.0,109,0.1622
8,Prim,60,61,3235.0,183,0.1929
8,Kruskal,60,61,3235.0,181,0.2129
9,Prim,90,90,4783.0,271,0.2057
9,Kruskal,90,90,4783.0,269,0.1955
10,Prim,120,213,3729.0,510,0.3236
10,Kruskal,120,213,3729.0,533,0.3121
11,Prim,150,154,7058.0,458,0.2876
11,Kruskal,150,154,7058.0,457,0.3427
12,Prim,180,272,6737.0,696,0.3162
12,Kruskal,180,272,6737.0,701,0.3364
13,Prim,210,390,6092.0,933,0.393
13,Kruskal,210,390,6092.0,973,0.7026
14,Prim,240,408,7496.0,1013,0.4397
14,Kruskal,240,408,7496.0,1034,0.9936
15,Prim,270,353,10659.0,960,0.3075
15,Kruskal,270,353,10659.0,964,0.4334
16,Prim,300,504,9724.0,1252,0.2795
16,Kruskal,300,504,9724.0,1253,1.1466
17,Prim,370,458,15913.0,1276,0.3064
17,Kruskal,370,458,15913.0,1273,0.6818
18,Prim,440,534,18992.0,1495,0.7871
18,Kruskal,440,534,18992.0,1491,1.4222
19,Prim,510,978,14272.0,2280,4.468
19,Kruskal,510,978,14272.0,2415,4.3321
20,Prim,580,830,21326.0,2181,1.0506
20,Kruskal,580,830,21326.0,2185,1.7301
21,Prim,650,984,22558.0,2527,0.8831
21,Kruskal,650,984,22558.0,2586,1.5025
22,Prim,720,752,34757.0,2225,1.1771
22,Kruskal,720,752,34757.0,2219,1.4609
23,Prim,790,1145,29188.0,3007,1.4448
23,Kruskal,790,1145,29188.0,3051,1.8551
24,Prim,860,1132,33775.0,3071,1.2842
24,Kruskal,860,1132,33775.0,3075,1.4447
25,Prim,930,1634,27972.0,3978,1.442
25,Kruskal,930,1634,27972.0,4061,1.8969
26,Prim,1000,1774,31163.0,4309,2.0732
26,Kruskal,1000,1774,31163.0,4450,2.0081
27,Prim,1300,2202,40457.0,5441,2.1342
27,Kruskal,1300,2202,40457.0,5683,2.6242
28,Prim,1600,2200,61845.0,5888,2.259
28,Kruskal,1600,2200,61845.0,5989,3.6037
29,Prim,2000,2598,78484.0,7081,1.5874
29,Kruskal,2000,2598,78484.0,7151,3.6839
